Empresa,2019,2020,2021,2022,2023,2024
Audi,,,,131734237.627049,49481002.277904324,85757782.8397874
BMW,16850873.196659073,26318838.61923953,11259374.780039864,40222958.21782047,128950458.31971057,101475269.55201216
BYD,,19407744.87471526,21773234.624145787,45063909.2046287,23786626.95773222,65209562.882148415
Changan,,,12531503.416856492,,14214123.006833714,284738.0410022779
Chevrolet Bolt,,,,,14388520.169807412,
Dongfeng Sokon,,,,,57351814.730447985,97668378.58769932
Hyundai,,,,,0.0,31845102.505694762
JAC Motors,,9355808.656036446,,,8804536.036446469,0.0
JMC,,,,,,0.0
KIA,,,,,,8809277.283081384
MG (Morris Garages),,,,57367046.317388,18429005.3151101,16953270.419785224
Mazda,,,,,94163460.16921577,292405922.55125284
Mercedes-Benz,,,,,81328090.83143508,185040995.44419134
Nissan,,26808064.74563402,58414483.67501899,,,29020501.138952162
Others,18528195.88458618,,193272209.5671982,106236870.80214123,45557630.97949886,28094123.006833714
Renault,10356402.537015945,20861974.025382362,25139603.644646928,19103264.996203493,53564890.00976245,28291149.582384206
"Tesla, Inc",,36251009.38496583,31124089.57798975,33827638.57251328,113906603.64464693,0.0
Toyota,,,,,-303.7205770686269,23004533.029612757
Volvo,,,,72241770.05548975,152412118.45102507,48892927.01114974
Zhidou,3948367.501898254,,23518864.92027335,19151607.188053656,187422528.81321186,
